quote,author,category
"Beginning with Santa Claus as a cognitive exercise, a child is encouraged to share the same idea of reality as his peers. Even if that reality is patently invented and ludicrous, belief is encouraged with gifts that support and promote the common cultural lies. The greatest consensus in modern society is our traffic systems. The way a flood of strangers can interact, sharing a path, almost all of them traveling without incident. It only takes one dissenting driver to create anarchy.","Chuck Palahniuk, Rant","anarchy, conditioning, dissent, santa"
"Bullets an stuff be flying all over. It is something I simply cannot understand - why in hell is we doing all this, anyway? Playing football is one thing. But this, I do not know why. Goddamn.","Winston Groom, Forrest Gump","bullet, bullets, understand, war, warfare, wars, why"
"I have known many people who have been incredibly successful in life. It was not necessarily because they had immense talent, brilliance, an expensive education, or exemplary skills. It was because they had an extraordinary attitude to take on life with love, passion, conviction, consistency, and hard work. What they all had in common was getting their minds right and becoming positive thinkers—which activated their potential to achieve remarkable things and build strong relationships.","Susan C. Young, The Art of Preparation: 8 Ways to Plan with Purpose & Intention for Positive Impact","attitude-quotes, build-confidence, communication-skills, mindset-quotes, motivational-speaker, preparation-quotes, quotes-by-susan-c-young, relationship-quotes, susan-young"
"In the light, our hearts only knows love.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","inspiration, light, love, marriage, philosophy, romance, shine, shine-your-light, spirituality, wise-words"
Faith is the divine evidence whereby the spiritual man discerneth God  and the things of God.,John Wesley,"faith, unity"
"We should all grow our own food and do our own waste processing, we really should.",Bill Gates,"Grow, Waste, Should "
"It was literature in its finest sense, since it made Unk courageous, watchful, and secretly free.","Kurt Vonnegut Jr., The Sirens of Titan","literature, secretly-free, unk"
"...in the running of cities, virtually nothing is done by anyone that is conducive to political health, nor is there a single ally with whom one might go to the aid of justice and still remain alive; it would be a case of a solitary human among wild animals, neither wanting to join in their depredations nor able to stand alone against their collective savagery, dead before he'd done any good to his city or friends and useless both to himself and everybody else. Once a person has made all these calculations, he keeps his peace and minds his own business, like someone withdrawing from the prevailing wind into the shelter of a wall in a storm of dust or rain, and as he sees everyone else filling themselves full of lawlessness he is content if he himself can somehow live out life here untainted by injustice and impious actions, and leave it with fine hopes and in a spirit of kindness and good will.","Plato, The Republic","justice, plato, politics, republic"
"Ask questions. Seek answers, knowing you’ll never have all of them. And that’s okay. Sometimes curiosity is its own reward.",Michael Holbrook,"encouragement, encouragement-quotes, inspirational-quotes, life, life-and-living, life-lessons, self-help"
I love dipping into dreams and sinuously sinking into sleep. It's the freest place to be. The possibilities are limitless and my imagination becomes a weightless wonder.,Jaeda DeWalt,"dreaming, dreams, imagination, inspirational, sleep, wonder"
"Lift up your eyes from your books, from your past, from your hurts and look upon all people with love, because when you look into another’s eyes and see innocence, you find it in yourself.","Dragos Bratasanu, Ph.D.","books, child, inner-child, innocence, live-in-the-moment, love, past, relationships"
If you're doing it right... you should feel while you're doing it that you're revealing a little too much of yourself.,Neil Gaiman,"writing-from-the-heart, writing-life"
"Staring thus closely at time we suddenly realize that what many look upon as a bromide is really a bombshell; namely, the fact that ""there is no time like the present."" Indeed, no! For it is the only time God grants to any of us. He does not give us years, months, days, or even hours. He grants us nothing but the truly, indivisible, yet immense and immeasurable, Now. This is ""your time"" - part of ""your hour.","M. Raymond, Now!","catholic, catholicism, inspirational-religious, spiritual-development"
We are all the product of our past and have to live with our memories and personality they cannot be erased.,"Jane Hersey, Full Circle","anxiety, depression, domestic-violence, parenthood, poverty, prostitution, psychology, psychotherapy, self-neglect, sexual-exploitation, single-mother"
Being a mother is not a matter of running through a succession of chores.,"Naomi Stadlen, What Mothers Do: especially when it looks like nothing","baby, mother"
Mere parsimony is not economy . . . expense  and great expense  may be an essential part of true economy.,Edmund Burke,capitalism
"Comes the tipping point in life, when we decide to a ‘stop and search’ and our emotional police bring us to a standstill. This allows us to scan all the little details in the spectrum of our being; scour all fuzzy or cryptic elements that are floating around in our mind and restore the fault lines in the cluttered tale of our life. (""The world was somewhere else"")",Erik Pevernagie,"allow, being, cluttered, cryptic, decide, details, emotional, fault-lines, floating, fuzzy, life, mind, police, restore, scan, scour, somewhere-else, spectrum, standstill, stop-and-search, tale, tipping-point, world"
"The sun, moon, and stars God gave to the world, but He embedded their glories in your countenance just for me. Woven in your hair are the sun's shimmering golden rays. From your face glows the pale luminescence of the moon. And in your eyes God sprinkled a million stars to twinkle against a backdrop of endless night. You are my celestial light.","Richelle E. Goodrich, Smile Anyway","celestial, love, moon, richelle, richelle-goodrich, stars, sun"
I’m an anchor and he is the sea and I sink into his tenderness as he presses my hand to his heart.,"Sarah Noffke, Awoken","love-quotes, love-story, men, swoon"
"Don’t blame any one, including you. There is something called destiny.","Girdhar Joshi, Some Mistakes Have No Pardon","blame, destiny, mistakes"
"In darkness, be your own light.",Debasish Mridha,"be-your-own-light, debasish-mridha, debasish-mridha-m-d, inspirational, light-your-own-way, philosophy, quotes"
"I don't mind nothing happening in a book, but nothing happening in a phony way--characters saying things people never say, doing jobs that don't fit, the whole works--is simply asking too much of a reader. Something happening in a phony way must beat nothing happening in a phony way every time, right? I mean, you could prove that, mathematically, in an equation, and you can't often apply science to literature.","Nick Hornby, The Polysyllabic Spree","literature, reading, science, writing"
