quote,author,category
"The worst thing to call somebody is crazy. It's dismissive. ""I don't understand this person. So they're crazy."" That's bullshit. These people are not crazy. They strong people. Maybe their environment is a little sick.",Dave Chappelle,"dave-chappelle, insanity"
"While the new Legionnaire man eliminated his enemies in the name of God, with a cross in his hand, the new Communist man eliminated God altogether and stood on His pedestal. They were both equally thirsty for blood.","Teodor Flonta, A Luminous Future","communism, life, love, secret-police, securitate, transylvania, vampires, witches"
"We must leave Christmas to be what it is, for to reduce it to the stuff of myth and whimsy is take the single and sole hope of a dying humanity and obliterate it. And I would contend that such an action is insanity of the greatest sort.","Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus","christmas, dying, gift, god, hope, humanity, jesus, kill, myth, obliterate, whimsy"
"Why?' He asked.'Why what?' What could I say? Noah, despite you being an asshole, or maybe because of it, I'd like to rip off your clothes and have your babies. Don't tell.","Michelle Hodkin, The Unbecoming of Mara Dyer","asshole, babies, clothes, crazy, cute, don-t-tell, don-t-tell-anyone, funny, having-babies, humerous, love, love-hate-relationship, mara-dyer, noah, noah-shaw, random, relationships, rip-off-clothes, secret, sex, shh, why"
"Follow what you love! Don't deign to ask what ""they"" are looking for out there. Ask what you have inside. Follow not your interests  which change  but what you are and what you love  which will and should not change.",Georgie Anne Geyer,right
"You never know what's going to inspire you, until suddenly it does.",Clyde Lee Dennis,"attitude-toward-life, inspiration, inspired-living"
"If I can't get the girl, at least give me more money.",Alan Alda,"Money, Girl, Me "
To be a leader you need a lot of people dumb enough to follow.,Anonymous,business
"We need leaders who can meet and adapt to new challenges, build strategic partnerships, build and sustain human capital organizations, and have the courage to act and react to the challenges","Thomas Narofsky, F(X) Leadership Unleashed!","courage, courageous-leadership, leadership, strategic-leadership, uncertainty"
We have innovative differentiated technology that is recognized by our customers and third party analysts as the best in the industry we have industry-leading support with a very large satisfied installed base due to our best-in-class support and development organisations. ,N. Robert Hammer,"Best, Support, Party "
"It is the man of science, eager to have his every opinion regenerated, his every idea rationalized, by drinking at the fountain of fact, and devoting all the energies of his life to the cult of truth, not as he understands it, but as he does not yet understand it, that ought properly to be called a philosopher.",Charles Sanders Peirce,"philosophy, science"
"The world has changed from quality to quantity, and so have we.",Santosh Kalwar,"change, life, quality, quantity, world"
"If you are having a problem with being your true self, how then would you succeed in being someone else you are not?",,"being-someone-else-you-are-not, being-your-positive-self, being-your-true-self, edmond-mbiaka, living-a-fake-life"
" it is always yesterday, tomorrow, and 3 years ago today. It is always your birthday. It is always the future, the present, and the past. It is always eternity that will last.",Antonia Perdu Millie Farquoix,"future, past, present, time"
"Wake up ! This ain't war between good and evil anymore.This is war between good people for their respective survival.Whoever lose in this war, will be remembered as the evil one.","Toba Beta, Master of Stupidity","evil, loser, power"
You hit home runs not by chance but by preparation.,Roger Maris,"Home, Preparation, You "
"Theatre is about the collective imagination... Everything I use on-stage is driven by the subject matter and what you might call the text - but that text can be anything, from a fragment of movement or music to something you see on a TV.",Simon McBurney,"Music, Theatre, You "
"Some stories are easy to follow, and easy to tell. There is an introduction, a twist, and a happily-ever-after. And when telling the story, everyone forgets those small details, like that one quiet morning when the two of you woke wake up with the sunrise and talked about cookies. Or that night when she had her period, and the cramps were killing her, and she just needed your hug and something warm.",Andrea Tomić,"couple, inspirational, love, storytelling, writing"
Thoughts are powerfulSo be careful,patrick cruz,"deep-thoughts, poem, thoughts-on-life"
"A year ago I would’ve been taken in by his chivalry, but now I knew what laid behind the façade: a frog waiting to bite me where it hurt the most given half the chance.","Luella Christie, Onyx Fox","dating, humor, love, relationship"
Being different and thinking different makes a person unforgettable. History does not remember the forgettable.,"Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem","be-different, being, being-different, being-different-quotes, forgettable, greatness, history, human, human-nature, individualism, individuality, innovate, innovator, life, original, original-quotes, originality, society, success, think-different, thinking, unforgettable, unique, uniqueness"
I will passionately perform my work.,"Lailah Gifty Akita, Think Great: Be Great!","achievement, christian-living, curious, daring, dont-give-up, dont-quit, educational-philosophy, enthusiasm, great-work, journey, lailah-gifty-akita-affirmations, life, mission, passionate-living, path, performance, positive-thinking, purpose, success, work, work-hard"
I'd rather have roses on my table than diamonds on my neck.,Emma Goldman,"nature, simple-pleasures, wealth"
"This bullet can go straight through the couch.""He was right. Fuck Ikea for making such flimsy furniture.","Karina Halle, Shooting Scars","action, humour"
"Slowly, very slowly, he sat up, and as he did so he felt more alive, and more aware of his own living body than ever before. Why had he never appreciated what a miracle he was, brain and nerve and bounding heart? It would all be gone...or at least, he would be gone from it. His breath came slow and deep, and his mouth and throat were completely dry, but so were his eyes.","J.K. Rowling, Harry Potter and the Deathly Hallows",harry-potter
"The secretary of education recently unveiled an initiative for curriculums to place more emphasis on history and language. Within the decade, proficiency in at least three languages will be required of all American schoolchildren by graduation. And along with its other recommendations, the CDC has issued a promulgation that every U.S. citizen “unplug” for at least two hours each day.location 6374","Alena Graedon, The Word Exchange","education, languages, reading, technology"
"It's very simple. Keep your body as clean as possible, your mind as clear as possible. That's all you need. And do it in anyway you can, in your own way. It doesn't matter. That's why I say 'peaceful body, peaceful mind'. And then you'll be useful. You don't have to become a useful person. You will be useful.",Swami Satchidananda,"peace, purity, purpose, yoga"
But thinking never took away tears. Only time did.,"Allan Folsom, The Day After Tomorrow","breakup, inspirational, tears, thinking, time"
"We are fed ideas in small sound bites that are really just the conclusions of particular beliefs. We do not examine what underpins these sound bites. If the sound bites are presented by a source we are accustomed to accepting as true, there is a danger we will assimilate the conclusion without knowing, or caring, whether it is based on solid arguments and assumptions.","Stephen McAndrew, Why It Doesn't Matter What You Believe If It's Not True: Is There Absolute Truth?","argumentation, logic, philosophy"
"As is so often the way, what we have suppressed and overlooked issomething startlingly obvious. The difficulty is that it is so obvious andbasic that one can hardly find the words for it. The Germans call it aHintergedanke, an apprehension lying tacitly in the back of our mindswhich we cannot easily admit, even to ourselves. The sensation of ""I"" asa lonely and isolated center of being is so powerful andcommonsensical, and so fundamental to our modes of speech andthought, to our laws and social institutions, that we cannot experienceselfhood except as something superficial in the scheme of the universe. Iseem to be a brief light that flashes but once in all the aeons of time—arare, complicated, and all-too-delicate organism on the fringe ofbiological evolution, where the wave of life bursts into individual,sparkling, and multicolored drops that gleam for a moment only tovanish forever. Under such conditioning it seems impossible and evenabsurd to realize that myself does not reside in the drop alone, but in thewhole surge of energy which ranges from the galaxies to the nuclearfields in my body. At this level of existence ""I"" am immeasurably old;my forms are infinite and their comings and goings are simply thepulses or vibrations of a single and eternal flow of energy.",Alan W. Watts,"philosophy, self"
Property is theft.,Proudhon,property
Don't make the mistake of letting pride get in the way of forgiveness. You still love him. He still loves you. Don't throw it all away just because your feelings are hurt.,"Marian Keyes, Watermelon","betrayal, cheat, fling, love"
"In the seventh century, Isaac the Syrian wrote about 'stillness,' which in his writings has been summarized as 'a deliberate denial of the gift of words for the sake of achieving inner silence, in the midst of which a person can hear the presence of God. It is standing unceasingly, silent, and prayerfully before God.","Kenneth Bailey, Jacob and the Prodigal: How Jesus Re-told Israel's Story",silence
"Cade thought about this. “Let me get this straight—you secretly pretend to like poetry to impress the smart girl in your English class, while she’s secretly pretending to like football to impress you.” He paused. “That’s gotta be the cutest fucking thing I’ve ever heard.”“I guess her subconscious finds my subconscious pretty irresistible,” Zach said, all teenage confidence right then.“You were lucky to pull that line off once, Garrity. I wouldn’t push it.","Julie James, Love Irresistibly","cade, cute, humor, love, zach"
"The popular element ""feels"" but does not always know or understand; the intellectual element ""knows"" but does not always understand and in particular does not always feel.",Antonio Gramsci,"feeling, intellectuals, knowledge, masses"
"[To have Faith in Christ] means, of course, trying to do all that He says. There would be no sense in saying you trusted a person if you would not take his advice. Thus if you have really handed yourself over to Him, it must follow that you are trying to obey Him. But trying in a new way, a less worried way. Not doing these things in order to be saved, but because He has begun to save you already. Not hoping to get to Heaven as a reward for your actions, but inevitably wanting to act in a certain way because a first faint gleam of Heaven is already inside you.","C.S. Lewis, Mere Christianity","benevolence, christianity, faith, obedience"
I could not take one more minute of trying to convince the people of Los Angeles that a workers’ revolution and a complete overhaul of society was a tiny bit more exciting than getting a bit role in a Burger King commercial,"Susie Bright, Big Sex Little Death: A Memoir","hollywood, los-angeles, radicalism, revolution"
Start with God - the first step in learning is bowing down to God only fools thumb their noses at such wisdom and learning.,King Solomon,"Wisdom, God, Step "
"Well, I once recall an old master sergeant once telling me that NCOs look after the men so that officers can figure out how to get them killed. That's the difference between maintenance and command.","Garth Ennis, The Boys, Volume 9: The Big Ride","command, killed, maintenance, military, ncos, officers, war"
"If she loved him the way she said she did, she wanted him whole. Maybe this was what love meant after all: sacrifice and selflessness. It did not mean hearts and flowers and a happy ending, but the knowledge that another's well-being is more important than one's own.","Melissa de la Cruz, Lost in Time","love, reality, sacrifice, selflessness, well-being"
"Oh my God! Get out right now!”Gio blinked, surprised at her sudden vehemence. “I was in here first.”“The upstairs is—”“Off-limits. Yeah, I know. So were you, but that didn’t stop me. In case you haven’t noticed, I have serious issues with following rules.","Bethany-Kris, Giovanni","crime, romance"
Life is beautiful...but occasionally it could use a bit of makeup!,Gilda Evans,inspirational-quote
"There are three absolute freedoms that we have that no one can take away; freedom to think, freedom to love and freedom to feel the joys of life.",Debasish Mridha,"absolute-freedoms, debasish-mridha, debasish-mridha-m-d, freedom-to-feel-joy, freedom-to-love, freedom-to-think, inspirational-quotes, philosophy, quotes, three-freedoms"
"To her eyes, used to diversity, there was a troubling uniformity about them all, something that spoke of isolation, and a dull and thoughtless cruelty.","Jack Ketchum, Off Season",horror
"You are ugly now, on the inside, where it matters most...you are beastly.","Alex Flinn, Beastly","beauty, fairytale"
Do not despair. Have faith. It is going to work out and you will be delivered.,"Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life","deliverance, despair, faith"
"On opening night, standing under the Rogers's marquee, [Lin] realized that if Eliza's struggle was the element of Hamilton's story that had inspired him the most, then the show itself was a part of her legacy.","Jeremy McCarter, Hamilton: The Revolution","alexander-hamilton, eliza, eliza-hamilton, hamilton, legacy, legacy-quotes, lin-manuel-miranda"
"Listen to me: die after me, all right? I don't care what else you do, where you go, how you screw up your life, just... survive. Outlive me, please.","Tracy Letts, August: Osage County","death, family, grief, loss"
"The dead can't hurt you, they're dead. Living things can hurt you, living people can hurt you but the dead can't.",Neil Gaiman,"dead, graveyard-book, hurt, living-things"
"Remember!--It is Christianity to do good always--even to those who do evil to us. It is Christianity to love our neighbours as ourself, and to do to all men as we would have them do to us. It is Christianity to be gentle, merciful and forgiving, and to keep those qualities quiet in our own hearts, and never make a boast of them or of our prayers or of our love of God, but always to show that we love Him by humbly trying to do right in everything. If we do this, and remember the life and lessons of Our Lord Jesus Christ, and try to act up to them, we may confidently hope that God will forgive us our sins and mistakes, and enable us to live and die in peace.",Charles Dickens,"christian-values, golden-rule, grace, kindness"
"All that crap about time being a great healer is bullshit. Time heals nothing. Well, acne maybe.","Saurbh Katyal, Seduced by Murder","acne, healing, humor, time, time-passing"
The mere sense of living is joy enough.,Emily Dickinson,time
"A broken heart in real life isn't half as dreadful as it is in books. It's a good deal like a bad tooth, though you won't think THAT a very romantic simile. It takes spells of aching and gives you a sleepless night now and then, but between times it lets you enjoy life and dreams and echoes and peanut candy as if there were nothing the matter with it.",L.M. Montgomery,"broken-heart, dreams, life, love, sleeplessness"
"It was some time since I had gone to sleep in the same room with a girl. Of course, the room was large and reasonably well-lighted, and the girl had other things than me on her mind.","Ross Macdonald, The Blue Hammer","relationships, sex"
To my b,"Colleen Hoover, Slammed","advice, letters, mom"
It is wrong to keep spelling out unnecessary choices that make women unconsciously resist either commitment or motherhood--and that hold back recognition of the needed social changes.,"Betty Friedan, The Feminine Mystique",feminism
"The Sons of the Serpent - they want you angry. At the world. They need us all to feel like victims. And it's an easy get, because times suck. Every day is a battle. We all feel like we're on the wrong end of the wrecking ball. We feel at the mercy of forces beyond our control, and that makes us scared. And that's rocket fuel for S.O.B.'s like the Serpents. They prey on us when we're frightened. They tell us our enemies are the immigrants down the street, or the food stamp family next door. They encourage us to turn our fear into rage, and we fall for it because it's 'empowering.' Except it's not. We don't become 'empowered.' We become weaponized.","Mark Waid, Daredevil, Volume 7","daredevil, kristen-mcduffie, racism, sons-of-the-serpent"
"We was used to each other in the way I s'pose two old bats can get used to hangin upside-down next to each other in the same cave, even though they're a long way from what you'd call the best of friends.","Stephen King, Dolores Claiborne","bats, dolores-claiborne, friends"
"I bow my head submissively and see that my chest is heaving, already dotted with the telltale ﬂush of sexual arousal.","Donna George Storey, Amorous Woman","erotica, erotica-romance, japan, tourism, travel"
"As you know, the business is cyclic with styles. It's no different from clothing styles.",Juice Newton,"Know, You, Clothing "
You can’t cross the sea merely by standing and staring at the water.,Rabindranath Tagore,"aim, choice, goal"
"If we have no place to go where we can escape that reaction to our bodies, where is it that we're not forced? The idea that these crimes are escapable is the blind optimism of men who don't understand what it means to live in a body that attracts a particular kind of attention with magnetic force.","Jessica Valenti, Sex Object","feminism, objectification, sexism"
A butterfly is a caterpillar who never gave up on his dream to fly.,Matshona Dhliwayo,"adversity-quotes, believe-in-yourself-quotes, butterfly-quotes, catapillar, don-t-give-up-quotes, dream-quotes, dreamer-quotations, dreamer-quotes, fly-quotes, flying, flying-quotes, give-up-quotes, greatness-quotes, inspirational-quotations, inspirational-quote, inspirational-quotes, inspirational-quotes-about-life, inspirational-quotes-for-women, inspirational-quotes-motivation, motivation-quotes, motivational-quotations, motivational-quote, motivational-quote-of-the-day, motivational-quotes, motivational-quotes-for-women, obstacles-quotes, overcome-quotes, overcomer-quotes, overcoming-adversity-quotes, overcoming-challenges-quotes, overcoming-fear-quotes, overcoming-obstacles-quotes, overcoming-quotes, perseverance-quotes, persistence-quotes, press-on-quotes, press-onward, resilience-quotes, success-quotes"
There are dreams that are meant to be shared and dreams to be kept hidden in our hearts. It's sometimes difficult to know which is which.,"Richard Paul Evans, A Winter Dream","choices, dreams, life"
"The coaches will offer a direction, a plan, routine, discipline and the players must develop the desire to work together accepting their roles as they learn in preparation for the season.","George M.   Gilbert, Team Of One: We Believe","coaching, football, inspirational, motivational, success, team-direction, winning"
"Don’t some people say, ‘You did not value me’? What value did you have at all? Go ask the ocean, ‘what is my worth?’ You will be swept away with one wave. The owner of many waves has swept away many a people like you! Worth is in those people who have no attachment-abhorrence.",Dada Bhagwan,"people, spiritual, spiritual-quotes, value, waves"
"Now, these eager and apprehensive men of small property constitute the class which is constantly increased by the equality of conditions. Hence, in democratic communities, the majority of the people do not clearly see what they have to gain by a revolution, but they continually and in a thousand ways feel that they might lose by one.","Alexis de Tocqueville, Democracy in America","1840, complacency, democracy, ows, revolution"
I have always had the greatest respect for students. There is nothing I hate more than condescension—the attitude that they are inferior to you. I always assume they have good minds.,Mark Van Doren,"education, students, teaching"
What if everyone's life was judged solely by the worst thing they'd ever done?,"Matt Micros, The Knights of Redemption","reality-of-life, reflection"
"Finally we came over a rise and I saw the Caribbean...My first feeling was a wild desire to drive a stake in the sand and claim the place for myself. The beach was white as salt, and cut off from the world by a ring of steep hills that faced the sea. We were on the edge of a large bay and the water was that clear, turquoise color that you get with a white sand bottom. I had never seen such a place. I wanted to take off all my clothes and never wear them again.","Hunter S. Thompson, The Rum Diary","adventure, desire, peace"
"I work 338 days a year, 16 hours a day.",Dave Pelzer,"Day, Hours, Year "
"Browsing through the shelves in bookstores or libraries, I was completely happy.","Louis L'Amour, Education of a Wandering Man","books, bookshelves, bookstores, happy, libraries"
"Bella: How could I live with myself when it’s my fault? None of you should be risking yourselves for me –Jasper: Bella, Bella, stop. You’re worrying all the wrong things, Bella. Trust me on this – none of us are in jeopardy… Our family is strong. Our only fear is losing you.Bella: But why should you –Alice: It’s been almost a century that Edward’s been alone. Now he’s found you. You can’t see the changes that we see, we who have been with him for so long. Do you think any of us want to look into his eyes for the next hundred years if he loses you?","Stephenie Meyer, Twilight","life, loss, love"
Everything which helps us to exist is holy! And a tree is holiest of the holy for us!,Mehmet Murat ildan,"existence, forest, forests, holy, mehmet-murat-ildan-quotations, tree, tree-quotes"
Fish  to taste right  must swim three times - in water  in butter and in wine.,Polish proverb,food
"He suffered,"" added Athos softly. ""But not like you."" He brought his mouth closer. ""No one suffers as beautifully as you.",V.E. Schwab,dark
Peace for thyself is the peace for thy neighbour which begins with a prayer.,Lailah Gifty Akita,"humanity, inspiring, neighbours, peace, prayer"
"I may not believe in God, but I still fear him.","Justin Go, The Steady Running of the Hour","belief, fear, god"
"When When it’s over, it’s over, and we don’t know any of us, what happens then.So I try not to miss anything.I think, in my whole life, I have never missed The full moonor the slipper of its coming back.Or, a kiss.Well, yes, especially a kiss.","Mary Oliver, Swan: Poems and Prose Poems","love, nature, poetry"
"n order to capture someone's attention, you must allow them to have the mental and emotional space to let you in.",Auliq Ice,"alikkais, arguments, auliq-ice, debate, falling-in-love, forgiveness, forgiveness-quotes, friendship-and-love, friendship-quotes, love, love-quotes, marriage, public-relations, true-love, trust, trustworthiness"
Imagination is the gatekeeper of the human soul.,"C. S. Lewis: A Life: Eccentric Genius, Reluctant Prophet","imagination, passion"
The heart of a company’s performance is hardwired to the hearts of its managers.,Stan Slap,"business-culture, business-management-training, change-management-training, characteristics-of-leadership, conflict-management-training, definition-leadership, definition-of-leadership, developing-leadership-skills, effective-leadership, keynote-speaker, keynote-speech, leadership-and-management, leadership-characteristics, leadership-class, leadership-development, leadership-development-plan, leadership-development-program, leadership-development-programs, leadership-speech, leadership-styles, leadership-styles-in-managers, leadership-team-development, leadership-training, leadership-traits, leadership-vs-management, management-and-leadership, management-consulting-services, management-skills-training, management-training, management-training-courses, management-training-program, management-training-programs, management-vs-leadership, manager-training, organizational-culture, organizational-leadership, performance-management-training, risk-management-training, sales-effectiveness, sales-management-training, theories-of-leadership, training-management, training-management-system, values-company"
Get rid of old stereotype “I am a victim,Sunday Adelaja,"calling, get, goal, life, mission, old, purpose, rid, stereotype, victim"
Spiritual awakening is not really spiritual at all.,Maria Erving,"awakening, enlightenment, enlightenment-quotes, spiritual-awakening"
My nature has always been to fight. My faith forces me to forgive.,"Cindy Martinusen Coloma, Caleb + Kate","faith, fight, forgive"
"Like Naokuo, I'm not really sure what it means to love another person. Though she meant it a little differently. I do want to try my best though. I have to, or else I won't know where to go. Like you said before, Naoko and I have to save each other. It's the only was for us to be saved!","Haruki Murakami, Norwegian Wood","confusion, love, naoko, reiko, reiko-ishida, toru, toru-watanabe"
"Expectations are nothing more than the rules we set, in order to maintain our ego and self esteem. What we seek from others is often that fulfillment of what we believe we require for happiness. However, many of us will raise the requirements so high that we can't even reach them or better yet, realize that we could find that expectation met by our own introspection and action.",Shannon L. Alder,"ego, expectations, hypocrisy, reality, relationships, relationships-101, rules, self, self-assessment, self-esteem, stayingpositiveu-com, stayingpositiveuniversity-com, unfair-expectations, unrealistic-rules"
"Is it ghosts that truly haunt us, or the memory of our own mistakes that we wish we could undo?","Laura Lam, Shadowplay","ghosts, haunting, mistakes"
"But when the wizard is onstage as the main character, you have to adopt what I call the Jack Vance Rule. I call it this because Jack Vance is the first author successfully and adroitly to have applied this rule in his The Dying Earth. The Jack Vance Rule is: (1) The wizard has to be able to do something unusual, or else he is not a wizard, (2) he cannot do everything, or else there is no drama; therefore (3) the story teller has to communicate to the reader whatever the dividing line is that separates what the wizard can do from what he cannot do, so that the reader can have a reasonable expectation of knowing what the wizard can and cannot do.","John C. Wright, Transhuman and Subhuman: Essays on Science Fiction and Awful Truth","fantasy, literature, wizards"
"He was going to punish me now. He couldn't beat me up with his old man fists, but he could hurt me with his old man words.","Sherman Alexie, The Absolutely True Diary of a Part-Time Indian",words
"Don’t ask for advice too much. Go with you, as gritty as that might be at times.",Porochista Khakpour,writing-life
"During the Vietnam War, every respectable artist in this country was against the war. It was like a laser beam. We were all aimed in the same direction. The power of this weapon turns out to be that of a custard pie dropped from a stepladder six feet high.",Kurt Vonnegut Jr.,"activism, politics, protest, reality, vietnam, war"
There really isn't much use in getting into a pissing contest since I have to sit down to pee anyway.,Tammy Blackwell,funny-quotes
I don't travel anywhere without the PS3 and XBox. There's nothing better to do on long bus trips while on tour.,Soulja Boy,"Long, Better, Nothing "
Nothing mitigated failure except the knowledge that it did not matter.,"Elizabeth Goudge, The Dean's Watch",failure
"Democracy may not prove in the long run to be as efficient as other forms of government, but it has one saving grace: it allows us to know and say that it isn't.",Bill Moyers,"Democracy, Grace, Long "
"Broken things can be made whole again. Perhaps not as they were before, but maybe stronger this time.","Carrie Ryan, The Dark and Hollow Places",strength
"Since the day Brahma created the world to this day, no one's ever been able to satisfy a wedding guest. They always find some opportunity or other to find fault and criticise. One who can't even afford a dry piece of bread at home becomes a lord at the wedding party.",Munshi Premchand,"Day, Home, Opportunity "
Evil comes from all source of gospel that tells people that you could be rich and wealthy without doing the hard work,Sunday Adelaja,"evil, gospel, hard-work, hard-work-pays, hard-work-pays-off, riches-and-wealth"
In June as many as a dozen species may burst their buds on a single day. No man can heed all of these anniversaries no man can ignore all of them. ,Aldo Leopold,"Day, Man, Single "
"Good books last longer than blog posts, which fade into cyberspace, hoping that a Google search will bring them to light again one day. And they shape a higher purpose in shaping a reader....Read books!",Aimee Byrd,reading-books
"I've started to hate this city, this country, all these STUPID FUCKING PEOPLE.",Nick Bantock,"angry, depression, london, made-me-laugh"
Every struggle in your past has shaped you into the person you are today. Take God's hand and step into your future without fear.,Surgeo Bell,"better-self, fear, fearless, future, future-plans, god, inspiration, past, struggles, today, today-is-your-day"
...it's always somebody's fault - I blame you for my helpless love - do you think I chose this? Your beauty compelled me...,"John Geddes, A Familiar Rain","blame, compulsion, love, suffering"
"The teacher is the one who gets the most out of the lessons, and the true teacher is the learner.",Elbert Hubbard,"True, Lessons, Most "
Middle age is when your old classmates are so gray and wrinkled and bald they don't recognize you.,Bennett Cerf,witty
"(Note: I realize this is horrifying. Just keep reading.) ""Turn to Leviticus 20:13, because I actually discovered the cure for AIDS. If a man also lie with mankind, as he lieth with a woman, both of them have committed an abomination: they shall surely be put to death. Their blood shall be upon them. And that, my friend, is the cure for AIDS. It was right there in the Bible all along — and they’re out spending billions of dollars in research and testing. It’s curable — right there. Because if you executed the homos like God recommends, you wouldn’t have all this AIDS running rampant.""This is an American pastor openly calling for the death of all homosexuals. The anti-gay movement is now so extreme, some, (not all) call for genocide. So how about instead of Alex from Target or pumpkin spice lattes, we get this out on the media. Because this is disgusting. No one should have to be called worthless, better in death, for a problem they did not cause. AIDS did not start with homosexuals, and it's not going to end with them. The only thing that has to end is hate like this.",Anomymous pastor and myself,"aids, god, inspiration, lgbt, love, pro-gay"
Choose faith to live life rather than fear.,"Lailah Gifty Akita, Think Great: Be Great!","adversitiy, choices, christian-life, faith, fear, fighting-spirit, hope, inspirational, life, life-lessons, motivational-positive-thinking, obstacles, overcomer, positivity, self-confidence, self-esteem, self-love, uplifting, wisdom-of-lailah-gifty-akita"
"As both a local resident and a parent with a CF-afflicted child, I'm thankful for companies like Canon, Chase and Outback who believe that giving back to the community is critical to their role as corporate citizens.",Boomer Esiason,"Community, Child, Believe "
"Maybe I'll paint you white. Fuck. You'd love that, woudn't you? Have my come all over your body.","K.I. Lynn, Breach","erotica, romance"
From my tears of happiness I have became a mountain of strength surrounded by a sea of Joy.,Stanley Victor Paskavich,life-and-living
"Don't trust people whose feelings change with time... Trust people whose feelings remain the same, even when the time changes.","Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics","change, feelings, trust"
"My characters tend to be more dynamic because they're reaching that point in their lives where their old way of being is breaking down. They're conflicted by the idea that they don't know what's next. You could call it Kierkegaard's leap of faith, when you get tired of sort of reinventing yourself on a very superficial level.",Chuck Palahniuk,"Tired, Yourself, Know "
"Distance is but metrics, unmeasurable is the heart",Dimitri Debaene,"always, heart, love, missing"
"All family stories are important, just as all people are important, and they deserve to be passed along.",Karen Chamberlain,"love-story, memoir, naval-aviation, naval-history, war"
"Those who deny guilt and sin are like the Pharisees of old who thought our Saviour had a “guilt complex” because He accused them of being whited sepulchers—outside clean, inside full of dead men’s bones. Those who admit that they are guilty are like the public sinners and the publicans of whom Our Lord said, “Amen, I say to you, that the publicans and the harlots shall go into the Kingdom of God before you” (Matt. 21:31). Those who think they are healthy but have a hidden moral cancer are incurable; the sick who want to be healed have a chance. All denial of guilt keeps people out of the area of love and, by inducing self-righteousness, prevents a cure. The two facts of healing in the physical order are these: A physician cannot heal us unless we put ourselves into his hands, and we will not put ourselves into his hands unless we know that we are sick. In like manner, a sinner’s awareness of sin is one requisite for his recovery; the other is his longing for God. When we long for God, we do so not as sinners, but as lovers.","Fulton J. Sheen, Peace of Soul: Timeless Wisdom on Finding Serenity and Joy by the Century's Most Acclaimed Catholic Bishop","denial, guilt, healing"
"Albania’s future is towards Christianity, since it is connected with it culturally, old memories, and its pre-Turkish nostalgia. With the passing of time, the late Islamic religion that came with the Ottomans should evaporate (at first in Albania and then in Kosova), until it will be replaced by Christianity or, to be more exact, Christian culture. Thus from one evil (the prohibition of religion in 1967) goodness will come. The Albanian nation will make a great historical correction that will accelerate its unity with its mother continent: Europe","Ismail Kadare, Mëngjeset në Kafe Rostand","albania, albanians, christianity, culture, kosovo"
"He had always wanted to write music, and he could give no other identity to the thing he sought. If you want to know what it is, he told himself, listen to the first phrases of Tchaikovsky’s First Concerto--or the last movement of Rachmaninoff’s Second. Men have not found the words for it, nor the deed nor the thought, but they have found the music. Let me see that in one single act of man on earth. Let me see it made real. Let me see the answer to the promise of that music. Not servants nor those served; not altars and immolations; but the final, the fulfilled, innocent of pain. Don’t help me or serve me, but let me see it once, because I need it. Don’t work for my happiness, my brothers--show me yours--show me that it is possible--show me your achievement--and the knowledge will give me courage for mine.","Ayn Rand, The Fountainhead",music
"The one who lives solely with the many, solely with the best, lives only as briefly as that which he owns, passes his tests. The one living by his actions, and by his deeds, will live his full life owning the average, happily having them, filling his needs.",Fabian Gustafsson,"life-lessons, life-philosophy, materialism, philosophy, thoughts, truth, values"
"Go all the way with it. Do not back off. For once, go all the goddamn way with what matters.","Ernest Hemingway, The Complete Short Stories",inspirational-attitude
We are not perfect. We are here to learn. Earth is one big classroom and God is our heavenly guidance counselor and teacher.,"Molly Friedenfeld, The Book of Simple Human Truths","classroom, counselor, earth, god, happiness, heaven, inspiration, inspirational-quotes, joy, love, peace, spirituality, teacher, truth, wisdom"
"Islands of memory begin to rise above the river of his life. At first they are little uncharted islands, rocks just peeping above the surface of the waters. Round about them and behind in the twilight of the dawn stretches the great untroubled sheet of water; then new islands, touched to gold by the sun.","Romain Rolland, Jean Christophe Vol I","life, love, memory"
The temple of truth has never suffered so much from woodpeckers on the outside as from termites within.,"Vance Havner, Pepper N Salt","apostasy, cults, god, gospel, heresey, jesus, properity"
"You look back on some little decision you made and realize all the things that happened because of it, and you think to yourself ""if only I'd known,"" but, of course, you couldn't have known.","Mary Downing Hahn, The Dead Man in Indian Creek","adventure, mystery"
"The whole conviction of my life now rests upon the belief that loneliness, far from being a rare and curious phenomenon, peculiar to myself and to a few other solitary men, is the central and inevitable fact of human existence.",Tom Wolfe,"Life, Myself, Loneliness "
"She reminded him that the weak will never enter the kingdom of love, which is a harsh and ungenerous kingdom,and that women give themselves only to men of resolute spirit, who provide them with the security they need in order to face life.","Gabriel García Márquez, Love in the Time of Cholera","love, security, strength, weakness, women"
"In other words, it's one of those books you thrust on your partner with an incredulous cry of ""This is me!","Nick Hornby, The Polysyllabic Spree","books, marriage, reading"
"No, forget love, the best we can hope to mould, given the poor Play-Doh of humankind, is a capacity for tolerance. This is achievable since tolerance is little more than indifference with a Dulux coat of manners. Surely we can manage that? Call me a dreamer but I can see a world where people of all races, creeds and colour will live together in harmony because they don't give a toss about each other.",Ian Pattison,tolerance
